titulo,qualis,pontos,ano_publicacao
Development and validation of BATUTA: a test to evaluate the musical perception of people with hearing impairment,A3,80.0,2023.0
Impact of the COVID-19 pandemic on the sleep quality of students: a meta-analysis and meta-regression,A1,100.0,2023.0
Worldwide prevalence and risk factor of obstructive sleep apnea: a meta-analysis and meta-regression,A4,70.0,2023.0
Evidence on Vocal Interventions in Adults: A Scoping Review,A2,90.0,2023.0
Prevalence of chewing difficulty in older people in long-term care: A systematic review and meta-analysis,A2,90.0,2023.0
Impact of bariatric surgery on oral health: a systematic review and meta-analysis,A1,100.0,2023.0
Evolução e desfecho de casos de violência intrafamiliar contra crianças e adolescentes:,B2,50.0,2023.0
Impact of orthognathic surgery on voice and speech: a systematic review and meta-analysis,A1,100.0,2023.0
Auditory and vestibular findings in brazilian adults affected by COVID-19: an exploratory study,A2,90.0,2023.0
Evaluation of Endo 10 Mobile application as diagnostic tool in endodontics,A4,70.0,2023.0
Análise de três métodos de estimativa da idade pela mineralização dentária em crianças do Sul do Brasil,B3,40.0,2023.0
Prevalence of signs and symptoms related to temporomandibular disorders and orofacial pain in patients indicated for orthognathic surgery: a meta-analysis,A1,100.0,2023.0
"Age, gender, and 11 comorbidities as risk factors associated with COVID-19 mortality: A retrospective cohort including 1.8 million individuals",A3,80.0,2023.0
The Self-Stigma of Hearing Loss in Adults and Older Adults: A Systematic Review,A1,100.0,2023.0
Self-Perception of Social Participation Restrictions in Adults and Older Adults with Hearing Loss: A Systematic Review,B1,60.0,2023.0
The Prevalence of Oropharyngeal Dysphagia in Adults: A Systematic Review and Meta-analysis,A1,100.0,2023.0
Prevalence of orofacial injuries resulting from trauma in individuals with cerebral palsy,A2,90.0,2023.0
Comparison of orthodontic root resorption of root-filled and vital teeth,A1,100.0,2022.0
Changes in cognitive performance after cochlear implantation in adults and older adults: a systematic review and meta-analysis,A1,100.0,2022.0
"SARPE treatment of a Class III malocclusion with maxillary transverse deficiency, short roots, gingival recession, and alveolar bone loss: Long-term stability",N,,2022.0
Prancha de Comunicação Suplementar e/ou Alternativa (PCA) no contexto educacional: uma revisão integrativa,A3,80.0,2022.0
Effect of The Patient-Centered Care Model on Health profissional satisfaction: a systematic review,A3,80.0,2022.0
Conhecimento e atuação do fonoaudiólogo em situações de violência intrafamiliar contra crianças e adolescentes,C,0.0,2022.0
Tinnitus complaint: a preliminary study among Brazilian children and teenagers,C,0.0,2022.0
The prevalence of dysphagia and changes in the quality of swallowing in patients infected with COVID-19,C,0.0,2022.0
Influence of Filling Material Remnants on the Diffusion of Hydroxyl Ions in Endodontically Retreated Teeth: An Ex Vivo Study,B2,50.0,2022.0
Study of the prevalence of dysgeusia caused by SARS-CoV-2 (covid-19) in Paraná,B3,40.0,2022.0
Effect and longevity of botulinum toxin in the treatment of gummy smile: a meta-analysis and meta-regression,A1,100.0,2022.0
Front lines of the COVID-19 pandemic: what is the effectiveness of using personal protective equipment in health service environments?-a systematic review,A2,90.0,2022.0
Psychosocial changes in patients submitted to orthodontic surgery treatment: a systematic review and meta-analysis,A1,100.0,2022.0
Periodontal parameters in orthodontically tractioned teeth: A systematic review and meta-analysis,A3,80.0,2022.0
Deglutition assessment instruments used in critical patients submitted to orotracheal extubation: a scoping review,B1,60.0,2022.0
Association between atypical swallowing and malocclusions: a systematic review,A4,70.0,2022.0
Musical Perception Assessment of People With Hearing Impairment: A Systematic Review and Meta-Analysis,A4,70.0,2021.0
Prevalence of temporomandibular disorders in musicians: A systematic review and meta¿analysis,A2,90.0,2021.0
Effect of isotretinoin on induced tooth movement in rats,A1,100.0,2021.0
Balance rehabilitation with a virtual reality protocol for patients with hereditary spastic paraplegia: Protocol for a clinical trial,A1,100.0,2021.0
Platelet-rich fibrin as palatal bandage in gingival graft harvest: a systematic review and meta-analysis,N,,2021.0
The autistic spectrum patient and biosafety adjustments in pandemic times: a literature review,B3,40.0,2021.0
Can preterm birth affect the palate morphology? A systematic review,C,0.0,2021.0
