titulo,qualis,pontos,ano_publicacao
Impact of orthodontic-surgical treatment on quality of life: a meta-analysis,A1,100.0,2020
EFFICIENCY OF AEROBIC PHYSICAL EXERCISE IN CHRONIC OROFACIAL PAIN: A SYSTEMATIC REVIEW,C,0.0,2020
Surgical-Periodontal aspects in orthodontic traction of palatally displaced canines: a meta-analysis,A2,90.0,2020
Diagnostic accuracy of panoramic radiography in the detection of calcified carotid artery atheroma: a meta-analysis,A1,100.0,2019
"Orthodontic, implant, and prosthetic rehabilitation of six maxillary anterior teeth with alveolar bone loss",A4,70.0,2018
Effect of acute administration of nicotine and ethanol on tooth movement in rats,A2,90.0,2018
To what extent are impacted canines associated with root resorption of the adjacent tooth?,A1,100.0,2018
Interaction of Anabolic Androgenic Steroids and Induced Tooth Movement in Rats,A2,90.0,2017
NOISE EXPOSURE AND EFFECTS ON BRAZILIAN FISHERMEN?S HEARING,A4,70.0,2020
The use of the Dangerous Decibels® program for refrigeration company workers and their children: an intergenerational pilot study,B1,60.0,2020
ESTUDO DA PERDA AUDITIVA E A SUA RELAÇÃO COM O TRABALHO EM FUMICULTORES EXPOSTOS A AGROTÓXICOS,B1,60.0,2020
Achados audiológicos em pacientes portadores de disfunção temporomandibular,B1,60.0,2019
The Importance of Otoneurological Evaluation in Brazilian Workers Exposed to Pesticides: A Preliminary Study,B1,60.0,2019
Hearing Health Programs for Schoolchildren,N,,2019
"Eventuais consequências Sociais e Emocionais, com Implicações Laborais, secundárias à Perda Auditiva induzida pelo Ruído",B3,40.0,2019
QUALITY OF LIFE IN DEAF SIGN LANGUAGE USERS IN SOUTHERN BRAZIL PSYCHOLOGICAL DOMAIN,A4,70.0,2019
"Personal Stereos: Sound Pressure Levels, Habits and Auditory Symptoms in University Students",C,0.0,2019
Vestibular evaluation in autosomal dominant cerebellar ataxia with prevalence in the south of Brazil,A3,80.0,2019
The use of exergames in neurorehabilitation,A3,80.0,2019
Alcoholic cerebellar degeneration: A case report,A3,80.0,2019
"Workers of the hospital maintenance sector: protection, hearing symptoms and noise exposure",B1,60.0,2018
Active aging: an intervention-research report,B1,60.0,2018
Dizziness handicap inventory and vestibular activities of living scale in patients with temporomandibular dysfunction,B1,60.0,2018
"Perception of the Quality of Life of Tobacco Growers Exposed to Pesticides: Emphasis on Health, Hearing, and Working Conditions",B1,60.0,2018
Percepção de equipes de trabalho sobre o ruído em pronto-socorro,B1,60.0,2018
PERCEPÇÃO DE IDOSOS SOBRE A RESTRIÇÃO DA PARTICIPAÇÃO RELACIONADA À PERDA AUDITIVA,B2,50.0,2018
Relationship between Otological Symptoms and TMD,B1,60.0,2018
The Impact of Dizziness on Daily Activities in Patients with Temporomandibular Dysfunction,B2,50.0,2017
Rastreamento e Monitoramento da Triagem Auditiva Neonatal em Unidade de Estratégia de Saúde da Família: Estudo Piloto,A3,80.0,2017
Intoxicação crônica por agrotóxicos em fumicultores,A4,70.0,2017
Atividade de grupo como estratégia de educação em saúde auditiva de trabalhadores de um serviço de manutenção hospitalar,B1,60.0,2017
Neurotological findings in Sporadic ataxia,A1,100.0,2017
Factors Related to the Quality of Life in the Context of Deaf Sign Language users in Brazil,A1,100.0,2020
Promoção de saúde de idosos residentes em instituições de longa permanência: uma pesquisa dialógica,B1,60.0,2020
Práticas de letramento e promoção da saúde no ensino superior: efeitos de intervenção intersetorial,B1,60.0,2020
Qualidade de vida de surdos usuários de Libras no Sul do Brasil,B1,60.0,2020
"O conhecimento da Guarda Municipal de Curitiba a respeito da Língua Brasileira de Sinais (Libras), da surdez e do surdo",A3,80.0,2020
Visão de professores de Libras de instituições de ensino superior acerca do trabalho pedagógico e da ação docente nesta disciplina,A2,90.0,2020
A  visão de um grupo de fonoaudiólogos acerca da prancha de Comunicação  Alternativa,C,0.0,2020
REPRESENTAÇÕES SOCIAIS DE IDOSOS INSTITUCIONALIZADOS ACERCA DA PROMOÇÃO DA SAÚDE POR MEIO DE AÇÕES DIALÓGICAS,A4,70.0,2020
Promoção do letramento versus medicalização no Ensino Superior: contribuições de uma abordagem fonoaudiológica,A1,100.0,2020
MEDICALIZAÇÃO DA EDUCAÇÃO E OS SENTIDOS  DO NÃO APRENDER,A1,100.0,2020
A linguagem na Síndrome de Treacher Collins: uma análise dialógica,B1,60.0,2019
A inclusão da disciplina de Libras nos cursos de licenciatura: visão do futuro docente,B1,60.0,2019
Accessibility of people with disabilities to higher education: social attitudes of students and professors of a higher education institution,B1,60.0,2019
"Autopercepção de idosos a respeito de suas condições auditivas, de sua escuta e de suas estratégias de comunicação",B2,50.0,2019
Quality of life in deaf sign language users  in Southern Brazil Pscychological Domain,A4,70.0,2019
Representações sociais da velhice e do cuidado enunciadas por acadêmicos de fonoaudiologia e de enfermagem,B2,50.0,2018
Distúrbio de processamento auditivo x dificuldade de leitura e escrita: há uma relação?,A1,100.0,2018
A case study of a socially deprived child from a dialogical approach,B1,60.0,2018
A pessoa com epilepsia: percepções acerca da doença e implicações na qualidade de vida,A3,80.0,2017
Crianças diagnosticadas com Síndrome de Irlen: análise de produções escritas.,B2,50.0,2017
Delimitação da área denominada comunicação suplementar e/ou alternativa (CSA),B1,60.0,2017
Speech language group therapy in the context of written language for deaf subjects in Southern Brazil,B1,60.0,2017
Inclusão de alunos com deficiência em uma Universidade particular de Curitiba,B2,50.0,2017
Bibliometric Analysis of Publications on Augmentative and Alternative Communication: Survey of Electronic Databases.,B4,30.0,2017
Profile of Patients with Hearing Loss from a Speech-Language Therapy Service between 2009 and 2015,B4,30.0,2017
Children and adolescents with cerebral palsy in the perspective of familial caregivers.,B1,60.0,2017
Accuracy of Different Imaging CBCT Systems for the Detection of Natural External Radicular Resorption Cavities: An Ex Vivo Study,A1,100.0,2019
Lower Incisor Root Resorption After Orthodontic Alignment and Leveling,N,,2019
Accuracy of Digital Periapical Radiography and Cone-beam Computed Tomography for Diagnosis of Natural and Simulated External Root Resorption,A1,100.0,2018
"Prosthetic, orthodontic and implant-supported rehabilitation of five maxillary anterior teeth with alveolar bone loss",A4,70.0,2018
The Radiographic Management for Surgical Planning and Implant Placement: a Case of Atypical Antral Artery Position,B3,40.0,2018
PREVALENCE OF ANATOMIC AND PATHOLOGIC FINDINGS IN THE MAXILLARY SINUS DETECTED THROUGH CONE-BEAM COMPUTED TOMOGRAPHY IN THE ROU-TINE OF STOMATOLOGY,N,,2018
Radiographic and anatomic investigation on the prevalence of bi-d mandibular canals in cone beam computed tomography scans,N,,2018
Pure-Tone Hearing Thresholds and Brainstem Auditory Evoked Potentials in Sporadic Ataxia,B1,60.0,2020
Assessment of ventilatory function in patients with spinocerebellar ataxia type 2,B2,50.0,2020
Noise exposure and effects on hearing in Brazilian fishermen,A4,70.0,2020
Evaluating the Quality of Rigid Optic Videolaryngoscopy Image Taken Through Dental Protection Cap and Its Feasibility as Additional Barrier Method Against COVID-19,A2,90.0,2020
Acoustic analysis of swallowing sounds in tracheostomized patients affected by traumatic brain injury,B1,60.0,2020
Prevalence of otological symptoms and parafunctional habits in patients with temporomandibular dysfunction,B1,60.0,2019
Effect of virtual reality in Parkinson's disease: a prospective observational study,B2,50.0,2018
Otoneurological findings prevalent in hereditary ataxias,B2,50.0,2018
The importance of central auditory evaluation in Friedreich's ataxia,B2,50.0,2018
Influence of osteopathic cervical manipulation on blood flow velocity of the cerebral circulation in chronic neck pain: analysis of three groups,B1,60.0,2018
Vestibulo-ocular function in patients with sporadic ataxia,B1,60.0,2018
Patients with chronic pain: degree of kinesiophobia related to dance practice,B1,60.0,2018
Benign rolandic epilepsy of childhood and central auditory processing disorder: A noncasual neurophysiological association,A3,80.0,2018
Attention to oropharingeal dysfunction in home care: speech therapy management. Appearance and content validation study of a guidance manual,B1,60.0,2018
Comparing Individuals through the Speech Recognition Test Applied to Regional Live Voice and Recorded Speeches from Paraná State in Five Brazilian Counties,B1,60.0,2018
Audiological evaluation in Sporadic ataxia,A1,100.0,2017
Effect of virtual reality on balance rehabilitation,A1,100.0,2017
Perinatal features of children  with autism spectrum disorder,B1,60.0,2017
Phenotypic and genotypic aspects of Townes-Brock syndrome: case report of patient in southern Brazil with a new SALL1 hotspot region nonsense mutation,B2,50.0,2017
Feasibility of virtual reality-based balance rehabilitation in adults with spinocerebellar ataxia: a prospective observational study,B1,60.0,2017
Correlation of dysfunction and clinical recovery in ischemic stroke,C,0.0,2017
Brainstem Auditory Evoked Potentials in infants aged 1 to 24 months during a hearing health care service,A4,70.0,2020
Perfil de cuidadores formais domiciliares de idosos em um cenário sul brasileiro,C,0.0,2020
Avaliação de intervenção educativa voltada à preservação auditiva de trabalhadores de uma lavanderia hospitalar,A3,80.0,2018
"PERCEPTION OF THE QUALITY OF LIFE FOR TOBACCO GROWERS EXPOSED TO PESTICIDES: EMPHASIS ON HEALTH, HEARING, AND WORKING CONDITIONS",N,,2018
Hearing Assessment of Neonates at Risk for Hearing Loss at a Hearing Health High Complexity Service: An Electrophysiological Assessment,B1,60.0,2018
Percepção de idosos sobre a restrição da participação relacionada à perda auditiva,B2,50.0,2018
A Efetividade de um Programa de Triagem Auditiva em uma Maternidade Pública de Curitiba,B3,40.0,2017
Pitch-Matching Accuracy and Temporal Auditory Processing,B1,60.0,2017
Socio-demographic factors associated with quality of life after a multicomponent aphasia group therapy in people with sub-acute and chronic post-stroke aphasia,A1,100.0,2020
A relação de alunos de fonoaudiologia com a leitura e escrita a partir de uma oficina de letramento,A1,100.0,2020
